Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Germany,DEU,1835,4931744,4.931744,0,0,0,0,0,0.167803
Norway,NOR,1835,14656,0.014656,0,0,0,0,0,0.012335
Spain,ESP,1835,3664,0.003664,0,0,0,0,0,0.000272
United Kingdom,GBR,1835,65263168,65.263168,0,0,0,0,0,2.564167
USA,USA,1835,4316192,4.316192,0,0,0,0,0,0.281478
Austria,AUT,1836,674176,0.674176,0,0,0,0,0,0.186546
Belgium,BEL,1836,5598592,5.598592,0,0,0,0,0,1.419161
France,FRA,1836,10636592,10.636592,0,0,0,0,0,0.311212
Germany,DEU,1836,5191888,5.191888,0,0,0,0,0,0.174799
Norway,NOR,1836,18320,0.018320,0,0,0,0,0,0.015236
Spain,ESP,1836,21984,0.021984,0,0,0,0,0,0.001620
United Kingdom,GBR,1836,76445696,76.445696,0,0,0,0,0,2.972806
USA,USA,1836,4730224,4.730224,0,0,0,0,0,0.300284
Austria,AUT,1837,707152,0.707152,0,0,0,0,0,0.193105
Belgium,BEL,1837,5997968,5.997968,0,0,0,0,0,1.507785
France,FRA,1837,11351072,11.351072,0,0,0,0,0,0.330386
Germany,DEU,1837,5950336,5.950336,0,0,0,0,0,0.198259
Norway,NOR,1837,25648,0.025648,0,0,0,0,0,0.021128
Spain,ESP,1837,36640,0.036640,0,0,0,0,0,0.002682
United Kingdom,GBR,1837,73770976,73.770976,0,0,0,0,0,2.840842
Austria,AUT,1838,850048,0.850048,0,0,0,0,0,0.230991
Belgium,BEL,1838,6122544,6.122544,0,0,0,0,0,1.526058
France,FRA,1838,11867696,11.867696,0,0,0,0,0,0.343623
Germany,DEU,1838,6631840,6.631840,0,0,0,0,0,0.218404
Norway,NOR,1838,51296,0.051296,0,0,0,0,0,0.041903
Spain,ESP,1838,25648,0.025648,0,0,0,0,0,0.001865
United Kingdom,GBR,1838,75811824,75.811824,0,0,0,0,0,2.891043
Austria,AUT,1839,1058896,1.058896,0,0,0,0,0,0.286343
Belgium,BEL,1839,6708784,6.708784,0,0,0,0,0,1.658128
France,FRA,1839,11570912,11.570912,0,0,0,0,0,0.333283
Germany,DEU,1839,7020224,7.020224,0,0,0,0,0,0.228330
Norway,NOR,1839,40304,0.040304,0,0,0,0,0,0.032698
Spain,ESP,1839,47632,0.047632,0,0,0,0,0,0.003440
