Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
China,CHN,1951,102115213,100.133456,0.937984,0.007328,1.036445,0,0,0.184452
Germany,DEU,1875,101518448,100.899232,0.619216,0,0,0,0,2.482296
India,IND,1959,101447362,79.523573,18.386566,0,3.537223,0,0,0.232731
Germany,DEU,1877,101302272,100.532832,0.769440,0,0,0,0,2.410008
Japan,JPN,1934,101202823,98.033869,0.780460,0.084275,2.304220,0,0,1.486310
Japan,JPN,1949,98420107,96.103056,0.593568,0.102592,1.620891,0,0,1.200670
Germany,DEU,1873,98367408,97.832464,0.534944,0,0,0,0,2.458140
India,IND,1958,95815882,75.818667,16.842813,0,3.154401,0,0,0.224764
Japan,JPN,1929,94880335,91.863808,0.853712,0.051296,2.111519,0,0,1.500227
Japan,JPN,1928,92390568,89.643424,0.802416,0.047632,1.897096,0,0,1.481544
Germany,DEU,1872,92109296,91.724591,0.384705,0,0,0,0,2.320659
India,IND,1957,91635453,72.837820,15.894432,0,2.903202,0,0,0.219783
Japan,JPN,1933,91342495,88.273088,0.619216,0.084272,2.365919,0,0,1.359628
China,CHN,1940,90790528,88.722876,1.795284,0,0.272368,0,0,0.175011
Japan,JPN,1927,89482208,88.668833,0.762081,0.051294,0,0,0,1.456653
Japan,JPN,1948,88082370,86.583984,0.487312,0.091600,0.919474,0,0,1.098901
Japan,JPN,1930,86165789,83.370656,0.864704,0.076944,1.853485,0,0,1.342084
Germany,DEU,1871,85349216,84.964496,0.384720,0,0,0,0,2.163149
Japan,JPN,1926,82604880,81.802500,0.762078,0.040302,0,0,0,1.365596
Japan,JPN,1925,82011312,81.153936,0.817072,0.040304,0,0,0,1.377832
India,IND,1956,81656449,65.156897,13.945184,0,2.554367,0,0,0.200307
Japan,JPN,1924,79347584,78.537877,0.773068,0.036638,0,0,0,1.352070
Japan,JPN,1919,79193696,78.175104,0.967296,0.051296,0,0,0,1.433292
China,CHN,1950,78835287,77.614512,0.619216,0.014656,0.586903,0,0,0.144923
India,IND,1955,78787827,63.711544,12.750720,0,2.325562,0,0,0.197672
Japan,JPN,1932,77980502,75.353824,0.692496,0.091600,1.842582,0,0,1.178149
Japan,JPN,1931,77904004,75.137779,0.839017,0.139225,1.787984,0,0,1.194755
Germany,DEU,1869,77592528,77.314064,0.278464,0,0,0,0,1.993949
Germany,DEU,1870,76639888,76.346754,0.293134,0,0,0,0,1.953554
Japan,JPN,1945,76635163,75.306192,0.677840,0.073280,0.577851,0,0,1.005394
Japan,JPN,1923,75907088,75.090016,0.769440,0.047632,0,0,0,1.310166
