Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,latitude,longitude
United States of America,USA,2021,5007335889,1002.299987,2233.778180,1637.038462,41.203135,67.684371,25.331754,14.858668,37.09024,-95.712891
Uruguay,URY,2021,6737872,0.001891,6.286873,0.158497,0.290612,0,0,1.966539,-32.522779,-55.765835
Uzbekistan,UZB,2021,121631478,8.083977,11.805991,96.180973,4.679080,0.881457,0,3.568847,41.377491,64.585262
Vanuatu,VUT,2021,174859,0,0.174859,0,0,0,0,0.547911,-15.376706,166.959158
Venezuela,VEN,2021,79746599,0.036175,30.221861,32.319135,1.774428,15.395000,0,2.827907,6.42375,-66.58973
Vietnam,VNM,2021,326013668,196.518368,60.613903,13.679221,54.120668,1.081508,0,3.344827,14.058324,108.277199
Wallis and Futuna,WLF,2021,27818,0,0.027818,0,0,0,0,2.392571,-13.768752,-177.156097
Yemen,YEM,2021,12476597,0.245909,9.592510,0.206611,0.663596,1.767971,0,0.378289,15.552727,48.516388
Zambia,ZMB,2021,7676180,2.463629,4.251568,0,0.960983,0,0,0.394194,-13.133897,27.849332
Zimbabwe,ZWE,2021,11296114,7.225620,3.500879,0,0.569615,0,0,0.706293,-19.015438,29.154857
Myanmar,MMR,2021,258423493,70.646945,108.752895,77.388400,21.151106,0.556348,0,3.889545,13.736717,100.523186
S. Sudan,SS,2021,21038215,0,19.026820,0,1.555589,0.455806,0,0.460786,6.876991,31.306978
